event_id,event_name,event_date,event_gynasium,event_city,event_state,event_country,event_match,fight_winner,fight_looser,decision_method,event_referee,event_round,round_time,R_avg_BODY_att,R_avg_BODY_landed,R_avg_BODY_pct,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_CLINCH_pct,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_GROUND_pct,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_HEAD_pct,R_avg_LEG_att,R_avg_LEG_landed,R_avg_LEG_pct,R_avg_SIG_STR_pct,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_avg_TOTAL_STR_pct,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_avg_BODY_att,B_avg_BODY_landed,B_avg_BODY_pct,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_CLINCH_pct,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_GROUND_pct,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_HEAD_pct,B_avg_LEG_att,B_avg_LEG_landed,B_avg_LEG_pct,B_avg_SIG_STR_pct,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_TOTAL_STR_pct,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_age
1,UFC Fight Night 181 Hall vs  Silva,10/31/2020,UFC Apex, Las Vegas, Nevada,United States of America,11,Uriah Hall,Anderson Silva,TKO (Punches),Herb Dean,4,1:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UFC Fight Night 181 Hall vs  Silva,10/31/2020,UFC Apex, Las Vegas, Nevada,United States of America,10,Bryce Mitchell,Andre Fili,Decision (Unanimous),Keith Peterson,3,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UFC Fight Night 181 Hall vs  Silva,10/31/2020,UFC Apex, Las Vegas, Nevada,United States of America,9,Greg Hardy,Maurice Greene,TKO (Punches),Herb Dean,2,1:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UFC Fight Night 181 Hall vs  Silva,10/31/2020,UFC Apex, Las Vegas, Nevada,United States of America,8,Kevin Holland,Charlie Ontiveros,TKO (Submission to Slam),Mark Smith,1,2:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UFC Fight Night 181 Hall vs  Silva,10/31/2020,UFC Apex, Las Vegas, Nevada,United States of America,7,Thiago Moises,Bobby Green,Decision (Unanimous),Keith Peterson,3,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UFC Fight Night 181 Hall vs  Silva,10/31/2020,UFC Apex, Las Vegas, Nevada,United States of America,6,Alexander Hernandez,Chris Gruetzemacher,TKO (Punches),Mark Smith,1,1:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UFC Fight Night 181 Hall vs  Silva,10/31/2020,UFC Apex, Las Vegas, Nevada,United States of America,5,Adrian Yanez,Victor Rodriguez,TKO (Head Kick),Herb Dean,1,2:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UFC Fight Night 181 Hall vs  Silva,10/31/2020,UFC Apex, Las Vegas, Nevada,United States of America,4,Sean Strickland,Jack Marshman,Decision (Unanimous),Keith Peterson,3,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UFC Fight Night 181 Hall vs  Silva,10/31/2020,UFC Apex, Las Vegas, Nevada,United States of America,3,Jason Witt,Cole Williams,Submission (Arm-Triangle Choke),Mark Smith,2,2:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UFC Fight Night 181 Hall vs  Silva,10/31/2020,UFC Apex, Las Vegas, Nevada,United States of America,2,Dustin Jacoby,Justin Ledet,TKO (Leg Kicks and Punches),Chris Tognoni,1,2:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UFC Fight Night 181 Hall vs  Silva,10/31/2020,UFC Apex, Las Vegas, Nevada,United States of America,1,Miles Johns,Kevin Natividad,TKO (Punch),Chris Tognoni,3,2:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UFC 254 Nurmagomedov vs  Gaethje,10/24/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,12,Khabib Nurmagomedov,Justin Gaethje,Submission (Triangle Choke),Jason Herzog,2,1:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UFC 254 Nurmagomedov vs  Gaethje,10/24/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,11,Robert Whittaker,Jared Cannonier,Decision (Unanimous),Anders Ohlsson,3,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UFC 254 Nurmagomedov vs  Gaethje,10/24/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,10,Alexander Volkov,Walt Harris,TKO (Body Kick and Punches),Lukasz Bosacki,2,1:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UFC 254 Nurmagomedov vs  Gaethje,10/24/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,9,Phil Hawes,Jacob Malkoun,TKO (Punches),Jason Herzog,1,0:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UFC 254 Nurmagomedov vs  Gaethje,10/24/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,8,Lauren Murphy,Liliya Shakirova,Submission (Rear-Naked Choke),Lukasz Bosacki,2,3:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UFC 254 Nurmagomedov vs  Gaethje,10/24/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,7,Magomed Ankalaev,Ion Cutelaba,TKO (Punches),Anders Ohlsson,1,4:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UFC 254 Nurmagomedov vs  Gaethje,10/24/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,6,Tai Tuivasa,Stefan Struve,TKO (Punches),Jason Herzog,1,4:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UFC 254 Nurmagomedov vs  Gaethje,10/24/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,5,Casey Kenney,Nathaniel Wood,Decision (Unanimous),Anders Ohlsson,3,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UFC 254 Nurmagomedov vs  Gaethje,10/24/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,4,Shavkat Rakhmonov,Alex Oliveira,Submission (Guillotine Choke),Lukasz Bosacki,1,4:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UFC 254 Nurmagomedov vs  Gaethje,10/24/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,3,Da Un Jung,Sam Alvey,Draw (Split),Anders Ohlsson,3,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UFC 254 Nurmagomedov vs  Gaethje,10/24/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,2,Miranda Maverick,Liana Jojua,TKO (Doctor Stoppage),Lukasz Bosacki,1,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UFC 254 Nurmagomedov vs  Gaethje,10/24/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,1,Joel Alvarez,Alexander Yakovlev,Submission (Armbar),Jason Herzog,1,3:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UFC Fight Night 180 Ortega vs  Korean Zombie,10/17/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,11,Brian Ortega,Chan Sung Jung,Decision (Unanimous),Lukasz Bosacki,5,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UFC Fight Night 180 Ortega vs  Korean Zombie,10/17/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,10,Jessica Andrade,Katlyn Chookagian,TKO (Punches to the Body),Lukasz Bosacki,1,4:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UFC Fight Night 180 Ortega vs  Korean Zombie,10/17/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,9,Jimmy Crute,Modestas Bukauskas,TKO (Punches),Anders Ohlsson,1,2:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UFC Fight Night 180 Ortega vs  Korean Zombie,10/17/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,8,James Krause,Claudio Silva,Decision (Unanimous),Lukasz Bosacki,3,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UFC Fight Night 180 Ortega vs  Korean Zombie,10/17/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,7,Jonathan Martinez,Thomas Almeida,Decision (Unanimous),Anders Ohlsson,3,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UFC Fight Night 180 Ortega vs  Korean Zombie,10/17/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,6,Guram Kutateladze,Mateusz Gamrot,Decision (Split),Lukasz Bosacki,3,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UFC Fight Night 180 Ortega vs  Korean Zombie,10/17/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,5,Gillian Robertson,Poliana Botelho,Decision (Unanimous),Anders Ohlsson,3,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UFC Fight Night 180 Ortega vs  Korean Zombie,10/17/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,4,Jun Yong Park,John Phillips,Decision (Unanimous),Lukasz Bosacki,3,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UFC Fight Night 180 Ortega vs  Korean Zombie,10/17/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,3,Fares Ziam,Jamie Mullarkey,Decision (Unanimous),Lukasz Bosacki,3,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UFC Fight Night 180 Ortega vs  Korean Zombie,10/17/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,2,Maxim Grishin,Gadzhimurad Antigulov,TKO (Punches),Anders Ohlsson,2,4:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UFC Fight Night 180 Ortega vs  Korean Zombie,10/17/2020,Flash Forum, Yas Island, Abu Dhabi,United Arab Emirates,1,Said Nurmagomedov,Mark Striegl,TKO (Punches),Lukasz Bosacki,1,0:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
